"District","Observations","Mean_Soil_pH","Mean_Total_N_percent","Mean_Available_P_mgkg","Mean_Available_K_mgkg","Mean_Organic_Carbon_percent","Mean_Rainfall_30d_mm","Mean_Temperature_mean_C","Mean_Urea_kg_ha","Mean_TSP_kg_ha","Mean_MOP_kg_ha"
"Batticaloa",423,6.50236180904523,0.128316831683168,9.94325,80.4233082706767,0.993167082294264,136.237562189055,29.4843828715365,251.696690307329,108.104964539007,66.3498817966903
"Colombo",420,5.27228070175439,0.12313184079602,8.62069825436409,105.120297029703,2.248375,294.179240506329,25.9751861042184,254.232857142857,116.824761904762,47.8902380952381
"Polonnaruwa",418,6.49285359801489,0.124583541147132,10.0377833753149,80.1461346633416,0.996819338422392,132.766501240695,29.459067357513,252.730622009569,108.552392344498,66.2296650717703
"Anuradhapura",411,6.50137755102041,0.124971722365039,9.88158567774936,80.1229007633588,1.01917525773196,132.562337662338,29.6282776349614,252.674939172749,108.784671532847,67.039902676399
"Kurunegala",411,6.0113612565445,0.122678571428571,12.4588235294118,88.4607235142119,1.5059693877551,173.79058524173,27.9314070351759,255.855474452555,87.5024330900243,59.8883211678832
"Monaragala",411,5.97542929292929,0.125342783505155,12.3205333333333,89.3528350515464,1.50679389312977,172.807908163265,27.9667506297229,252.200486618005,87.3839416058394,59.5077858880779
"Ampara",408,6.4727621483376,0.125764397905759,10.0889763779528,78.2099216710183,0.99911227154047,136.228831168831,29.4807197943445,251.39387254902,108.613480392157,67.8811274509804
"Nuwara Eliya",408,5.25498694516971,0.126223650385604,8.59401041666667,106.616062176166,2.2509067357513,298.992428198433,25.9580474934037,252.575,117.036029411765,46.8294117647059
"Mullaitivu",405,6.49284974093264,0.123069587628866,9.83958333333333,80.9337628865979,1.01819843342037,135.497186700767,29.5787798408488,254.914814814815,108.783209876543,65.6738271604938
"Vavuniya",405,6.440103626943,0.129167525773196,9.97383419689119,79.6497409326425,1.02372750642674,133.930183727034,29.5020618556701,250.961728395062,108.943703703704,67.0325925925926
"Kilinochchi",404,6.49762273901809,0.122926315789474,10.1251282051282,81.783631713555,0.985456919060052,142.516623376623,29.33359375,255.157920792079,106.538613861386,65.4680693069307
"Trincomalee",404,6.51640957446808,0.124018134715026,9.71181102362205,79.9843989769821,1.0115206185567,129.132984293194,29.4496083550914,252.682673267327,110.170544554455,66.9831683168317
"Kandy",403,5.2534725848564,0.1263515625,8.65616797900262,106.72981530343,2.23677083333333,296.622395833333,26.0701298701299,251.965508684864,117.500248138958,46.741935483871
"Ratnapura",403,5.23215025906736,0.122675392670157,8.60708661417323,104.939793281654,2.24751937984496,298.869553805774,25.978961038961,255.323325062035,116.598263027295,48.2114143920596
"Matara",400,5.25383597883598,0.125380208333333,8.47597911227154,103.60390625,2.22456919060052,303.528272251309,26.0121372031662,253.43725,118.39725,48.8625
"Badulla",398,6.04454308093995,0.122704787234043,12.7126649076517,89.8617021276596,1.48194736842105,176.25585106383,27.9738095238095,255.504773869347,84.0781407035176,57.7972361809045
"Hambantota",396,6.5201326259947,0.123219251336898,10.2531165311653,78.9429333333333,1.02569518716578,142.382841823056,29.5497395833333,253.42196969697,107.214646464646,67.1666666666667
"Kegalle",395,6.01088948787062,0.125626984126984,12.3856020942408,87.4612903225807,1.51201612903226,172.627968337731,27.9695767195767,254.131139240506,88.4060759493671,59.7782278481013
"Puttalam",394,6.56611260053619,0.11992,9.99071618037135,81.510875331565,0.991506493506493,127.566223404255,29.4424,255.120812182741,108.530964467005,64.7895939086294
"Galle",391,5.24713903743316,0.125455525606469,8.48563685636856,106.388219178082,2.26137837837838,298.560752688172,25.8965425531915,252.204347826087,116.432225063939,46.9892583120205
"Matale",385,6.02230769230769,0.120372928176796,12.6406593406593,92.5249307479224,1.50445945945946,176.857458563536,28.0609756097561,255.268831168831,86.5924675324675,56.1371428571429
"Kalutara",384,5.23739612188366,0.125598360655738,8.52121212121212,106.198630136986,2.27052341597796,301.988674033149,25.937741046832,252.126822916667,118.336197916667,47.14765625
"Mannar",383,6.50601108033241,0.120717808219178,10.1104109589041,80.0390835579515,0.990626702997275,139.445152354571,29.6055096418733,255.451697127937,107.772323759791,67.8955613577023
"Jaffna",372,6.47637931034483,0.126162393162393,10.0905292479109,79.4667605633803,1.01353107344633,140.954494382022,29.6104225352113,251.881989247312,105.95376344086,66.7067204301075
"Gampaha",368,5.25181034482759,0.129037142857143,8.61117478510029,103.68338028169,2.2630790960452,305.080172413793,26.0896253602305,250.730706521739,117.481793478261,48.8638586956522
