"Target","Predictor","Pearson_Correlation","Absolute_Correlation"
"MOP_kg_ha","Recommended_K2O_kg_ha",0.992952903280271,0.992952903280271
"MOP_kg_ha","Available_K_mgkg",-0.892105605463886,0.892105605463886
"MOP_kg_ha","Organic_Carbon_percent",-0.306802112104314,0.306802112104314
"MOP_kg_ha","Temperature_mean_C",0.275654161204354,0.275654161204354
"MOP_kg_ha","Soil_pH",0.258746302564965,0.258746302564965
"MOP_kg_ha","Rainfall_30d_mm",-0.243222545676621,0.243222545676621
"MOP_kg_ha","Available_P_mgkg",0.0816445797174909,0.0816445797174909
"MOP_kg_ha","Recommended_P2O5_kg_ha",-0.0608526989945726,0.0608526989945726
"MOP_kg_ha","Total_N_percent",-0.00820910436638435,0.00820910436638435
"MOP_kg_ha","Recommended_N_kg_ha",0.00488223670075184,0.00488223670075184
"TSP_kg_ha","Recommended_P2O5_kg_ha",0.984868484418538,0.984868484418538
"TSP_kg_ha","Available_P_mgkg",-0.887133293437037,0.887133293437037
"TSP_kg_ha","Rainfall_30d_mm",0.138094385937589,0.138094385937589
"TSP_kg_ha","Organic_Carbon_percent",0.123495524158053,0.123495524158053
"TSP_kg_ha","Temperature_mean_C",-0.110423061964361,0.110423061964361
"TSP_kg_ha","Soil_pH",-0.107477527697434,0.107477527697434
"TSP_kg_ha","Available_K_mgkg",0.0716958688378317,0.0716958688378317
"TSP_kg_ha","Recommended_K2O_kg_ha",-0.061199948289973,0.061199948289973
"TSP_kg_ha","Recommended_N_kg_ha",-0.0191976290163445,0.0191976290163445
"TSP_kg_ha","Total_N_percent",0.0150774482646041,0.0150774482646041
"Urea_kg_ha","Recommended_N_kg_ha",0.926766170733893,0.926766170733893
"Urea_kg_ha","Total_N_percent",-0.861049410104521,0.861049410104521
"Urea_kg_ha","Temperature_mean_C",0.0184429737858883,0.0184429737858883
"Urea_kg_ha","Recommended_P2O5_kg_ha",-0.0181910665843883,0.0181910665843883
"Urea_kg_ha","Available_P_mgkg",0.0173496224216657,0.0173496224216657
"Urea_kg_ha","Organic_Carbon_percent",-0.0109697886295354,0.0109697886295354
"Urea_kg_ha","Rainfall_30d_mm",-0.00750757575029472,0.00750757575029472
"Urea_kg_ha","Available_K_mgkg",-0.00652878890660105,0.00652878890660105
"Urea_kg_ha","Soil_pH",-0.000824329833785202,0.000824329833785202
"Urea_kg_ha","Recommended_K2O_kg_ha",-0.000295664616488808,0.000295664616488808
